Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0281549,42.45,4.06,2.45,4.25,2.47,2.05,1.72
DDB_G0283727,109.4,9.02,5.66,10.22,6.89,18.21,7.19
DDB_G0289157,647.12,100.74,33.13,34.34,15.89,29.98,41.87
DDB_G0282143,16200.4,1324.02,791.97,623.45,234.39,350.1,370.4
DDB_G0288461,191.94,18.43,9.01,16.78,43.26,22.4,31.1
DDB_G0286181,67.79,6.57,2.65,3.9,2.85,1.17,6.07
DDB_G0267418,2956.73,879.57,92.3,140.79,245.83,1394.78,3393.17
DDB_G0267600,0,0,0.285943912,0.241738237,0.122337742,0.289315672,1.504256267
DDB_G0269124,0.319218004,0.947181415,602.5254757,848.5304887,1470.185259,1976.523077,1391.410648
DDB_G0273013,12.67732157,24.58867917,32.79871477,30.07815096,26.66000728,20.16966241,18.97588025
DDB_G0274951,0,0.809726734,1.478981739,0.300306544,0,0.271013281,0.464549666
DDB_G0276261,3.218220713,1.827924036,48.27149835,102.549675,62.87982503,72.50941512,68.0753572
DDB_G0277215,0.171983695,0,0.608942726,1.156964853,6.982136911,3.041435544,65.58729288
DDB_G0277839,105.08968,8.578950753,22.47727215,5.865804033,2.840361254,2.204308987,2.286669775
DDB_G0281033,108.5433591,82.49407459,62.96017839,90.76600711,47.02456439,27.30168657,28.75564022
DDB_G0282527,2.452169399,1.814987071,1.212194399,1.024042077,1.326377231,1.496149348,0.796646621
DDB_G0282727,1.896848678,7.303698655,11.18107639,13.82893934,15.4622006,11.38339258,9.667317503
DDB_G0283811,0,0.459700127,10.86169622,24.66777544,9.854089936,7.952942834,45.65905867
DDB_G0284291,2.223744741,3.70348266,1.243292693,3.013360051,2.259452511,3.204973888,3.619874638
DDB_G0286765,1.113256393,11.08103432,28.00518629,34.09753914,80.36510749,120.5369782,122.6596343
DDB_G0287199,1.256054179,230.7178509,561.5588746,256.6458707,236.3498109,292.1162197,209.0964307
DDB_G0287771,0,0,0.284657159,0,0,0,0.160948568
DDB_G0287791,0,0.61724711,2.486585386,1.094640112,0.614501396,0.655782191,0
DDB_G0289645,6.126375536,39.16513872,26.5118337,24.24690693,15.14478444,4.417300418,5.08330305
DDB_G0290599,12.77850732,20.1817886,76.93183715,94.57426899,31.76334283,37.0233508,21.99122239
DDB_G0290787,1.866158181,9.336811446,26.11108924,32.79492081,30.06790735,22.4103546,21.81202554
DDB_G0290827,0,0,0.422699696,0.356543548,0.762455974,0.641526056,0.648157467
DDB_G0294024,80.11129858,245.981771,286.0918431,92.75451791,110.6476264,68.89693408,66.39460427
DDB_G0294080,71.55484417,256.6572899,146.9930071,41.39534138,47.19180162,42.08135369,28.74253895
DDB_G0294423,83.82978158,164.8200581,136.6562572,50.67062902,54.50952503,52.77351185,37.53126477
DDB_G0295825,0.757992193,2.185261066,5.947008416,5.95868275,8.497140149,4.638504532,4.004583289
DDB_G0287783,31.19854672,54.60371901,44.09456967,32.19908015,23.75922863,15.86851896,15.4983979
